sp_pool,Exclude,Species,Grouping...4,Order,Family,Genus,Habitat,Grouping...9
Ortho.modes,1,Orthocyclops Modestus,NA,NA,NA,NA,NA,NA
Orthocyclops.sp,NA,Orthocyclops.sp,Copepod,Cyclopoida,NA,NA,NA,Cyclopoid
Paracyclops.sp,NA,Paracyclops,Copepod,Cyclopoida,NA,NA,NA,Cyclopoid
Pleur.procu,NA,Pleuroxus,Cladocera,Anomopoda,Chydoridae,Pleuroxus,NA,Chydorid
Pleuroxus.sp,NA,Pleuroxus,Cladocera,Anomopoda,Chydoridae,Pleuroxus,NA,Chydorid
Polyp.pedic,NA,Polyphemus,Cladocera,Onchypoda,Polyphemidae,Polyphemus,NA,Polyphemus
Rotifer,1,Rotifer,NA,NA,NA,NA,NA,NA
Scapholeberis.sp,NA,Scapholeberis,Cladocera,Anomopoda,Daphnidae,Scapholeberis,NA,Scapholeberis
Senec.calan,1,Senecella calanoides,NA,NA,NA,NA,NA,NA
Sida.cryst,NA,sida crystallina,Cladocera,Ctenopoda,Sididae,Sida,NA,Sididae
Simoc.vetul,NA,Simocephalus vetulus,Cladocera,Anomopoda,Daphnidae,Simocephalus,NA,Simocephalus
Simocephalus.sp,NA,Simocephalus.sp,Cladocera,Anomopoda,Daphnidae,Simocephalus,NA,Simocephalus
Skist.orego,NA,Skistodiaptomus oregonensis,Copepod,Calanoida,Diaptomus,NA,NA,Calanoid
Skist.palli,NA,Skistodiaptomus pallidus,Copepod,Calanoida,Diaptomus,NA,NA,Calanoid
Skistodiaptomus.sp,NA,Skistodiaptomus.sp,Copepod,Calanoida,Diaptomus,NA,NA,Calanoid
Tropocyclops.sp,NA,Tropocyclops,Copepod,Cyclopoida,NA,NA,NA,Cyclopoid
Unkno.clado,1,Unknown,NA,Anomopoda,Chydoridae,Chydorus,NA,NA
