"siteid","HydroBasin","Country","Region","SUB_AREA"
"G9702",2080031060,"SWE","VASTERBOTTEN",747.5
"G9741",2080030560,"SWE","VASTERBOTTEN",1893.9
"G9757",2080030460,"SWE","VASTERBOTTEN",1043.8
"G9775",2080032990,"SWE","HALLAND",436.1
"G9799",2080030430,"SWE","VASTERBOTTEN",259.2
"G9801",2080032990,"SWE","HALLAND",436.1
"G9805",2080030430,"SWE","VASTERBOTTEN",259.2
"G9809",2080030420,"SWE","VASTERBOTTEN",697.5
"G9816",2080030420,"SWE","VASTERBOTTEN",697.5
"G9821",2080030420,"SWE","VASTERBOTTEN",697.5
"G9825",2080030420,"SWE","VASTERBOTTEN",697.5
"G9826",2080030420,"SWE","VASTERBOTTEN",697.5
"G9827",2080030420,"SWE","VASTERBOTTEN",697.5
"G9831",2080030420,"SWE","VASTERBOTTEN",697.5
"G9834",2080030370,"SWE","VASTERBOTTEN",1255.7
"G9840",2080030420,"SWE","VASTERBOTTEN",697.5
"G9850",2080030370,"SWE","VASTERBOTTEN",1255.7
"G9852",2080030650,"SWE","VASTERBOTTEN",322.5
"G9858",2080030370,"SWE","VASTERBOTTEN",1255.7
"G9863",2080030370,"SWE","VASTERBOTTEN",1255.7
"G9868",2080030370,"SWE","VASTERBOTTEN",1255.7
"G9870",2080030370,"SWE","VASTERBOTTEN",1255.7
"G9878",2080030370,"SWE","VASTERBOTTEN",1255.7
"G9879",2080030370,"SWE","VASTERBOTTEN",1255.7
"G9880",2080030370,"SWE","VASTERBOTTEN",1255.7
"G9882",2080030370,"SWE","VASTERBOTTEN",1255.7
"G9887",2080032990,"SWE","HALLAND",436.1
"G9893",2080030370,"SWE","NORRBOTTEN",1255.7
"G9897",2080030420,"SWE","VASTERBOTTEN",697.5
"G9899",2080032990,"SWE","HALLAND",436.1
"G9900",2080030420,"SWE","VASTERBOTTEN",697.5
"G9901",2080030420,"SWE","VASTERBOTTEN",697.5
"G9905",2080030370,"SWE","NORRBOTTEN",1255.7
"G9908",2080030420,"SWE","VASTERBOTTEN",697.5
"G9921",2080030420,"SWE","NORRBOTTEN",697.5
"G9924",2080030370,"SWE","NORRBOTTEN",1255.7
"G9925",2080030420,"SWE","NORRBOTTEN",697.5
"G934",1080023890,"CIV","SAVANES",23.4
"G935",1080023890,"CIV","ZANZAN",23.4
"G936",1080023950,"CIV","VALLEE DU BANDAMA",614.2
