species,include,total_density.x,sampled_yr.x,presentyr.x,sampled_date.x,present_date.x,included.x,total_density.y,sampled_yr.y,presentyr.y,sampled_date.y,present_date.y,included.y,total_density,sampled_yr,present_yr,sampled_date,present_date,included
Pseudanabaena limnetica,1,0,0,0,0,0,0,11320.6725,16,12,105,21,0,11320.6725,16,12,105,21,0
Pseudanabaena mucicola,1,0,0,0,0,0,0,75056.645,16,12,105,42,0,75056.645,16,12,105,42,0
Pseudanabaena sp.,1,0,0,0,0,0,0,1112.7,16,5,105,6,0,1112.7,16,5,105,6,0
Pyramichlamys dissecta,1,0,0,0,0,0,0,190.7231,16,9,105,14,0,190.7231,16,9,105,14,0
Pyramimonas sp.,1,0,0,0,0,0,0,4.3,16,1,105,1,0,4.3,16,1,105,1,0
Rhabdoderma lineare,1,0,0,0,0,0,0,1747.4,16,4,105,5,0,1747.4,16,4,105,5,0
Rhabdogloea scenedesmoides,1,0,0,0,0,0,0,45.1698,16,1,105,1,0,45.1698,16,1,105,1,0
Rhodomonas minuta,1,0,0,0,0,0,0,159.7,16,7,105,11,0,159.7,16,7,105,11,0
Rhodomonas minuta (v. nannoplanctica),1,0,0,0,0,0,0,15857.1185,16,16,105,99,0,15857.1185,16,16,105,99,0
Scenedesmus bicaudatus,1,0,0,0,0,0,0,8.8,16,1,105,1,0,8.8,16,1,105,1,0
Scenedesmus brasiliensis,1,0,0,0,0,0,0,49.6,16,1,105,1,0,49.6,16,1,105,1,0
Scenedesmus intermedius,1,0,0,0,0,0,0,241.5,16,3,105,5,0,241.5,16,3,105,5,0
Scenedesmus obliquus,1,0,0,0,0,0,0,5.2,16,1,105,1,0,5.2,16,1,105,1,0
Scenedesmus opaliensis,1,0,0,0,0,0,0,75.0385,16,2,105,3,0,75.0385,16,2,105,3,0
Scenedesmus quadricauda,1,0,0,0,0,0,0,51.8,16,4,105,4,0,51.8,16,4,105,4,0
Scenedesmus quadricauda (v. longispina),1,0,0,0,0,0,0,1.4,16,1,105,1,0,1.4,16,1,105,1,0
Scenedesmus semipulcher,1,0,0,0,0,0,0,49.6,16,1,105,1,0,49.6,16,1,105,1,0
Scenedesmus serratus,1,0,0,0,0,0,0,365.1,16,4,105,7,0,365.1,16,4,105,7,0
Scenedesmus sp.,1,0,0,0,0,0,0,56,16,3,105,3,0,56,16,3,105,3,0
Scenedesmus sp. 2,1,0,0,0,0,0,0,34.7,16,1,105,1,0,34.7,16,1,105,1,0
Schroederia judayi,1,0,0,0,0,0,0,461.8938,16,13,105,31,0,461.8938,16,13,105,31,0
Schroederia setigera,1,0,0,0,0,0,0,127.3,16,9,105,16,0,127.3,16,9,105,16,0
Selenastrum minutum,1,0,0,0,0,0,0,8.5,16,1,105,1,0,8.5,16,1,105,1,0
Skeletonema potamos,1,0,0,0,0,0,0,65.2,16,3,105,4,0,65.2,16,3,105,4,0
Spermatozopsis exsultans,1,0,0,0,0,0,0,15.5,16,3,105,3,0,15.5,16,3,105,3,0
Spirulina sp.,1,0,0,0,0,0,0,10.4,16,1,105,1,0,10.4,16,1,105,1,0
Staurastrum sp.,1,0,0,0,0,0,0,0.2,16,1,105,1,0,0.2,16,1,105,1,0
Staurosira cf construens,1,0,0,0,0,0,0,2.6,16,1,105,1,0,2.6,16,1,105,1,0
Staurosira construens,1,0,0,0,0,0,0,5.2,16,1,105,1,0,5.2,16,1,105,1,0
Staurosira construens (var. venter),1,0,0,0,0,0,0,36.2,16,6,105,7,0,36.2,16,6,105,7,0
Stephanodiscus binderanus,1,0,0,0,0,0,0,16.9,16,1,105,1,0,16.9,16,1,105,1,0
Stephanodiscus hantzschii,1,0,0,0,0,0,0,98.9938,16,5,105,6,0,98.9938,16,5,105,6,0
Stephanodiscus medius,1,0,0,0,0,0,0,22,16,5,105,6,0,22,16,5,105,6,0
Stephanodiscus minutulus,1,0,0,0,0,0,0,16.9385,16,1,105,1,0,16.9385,16,1,105,1,0
Stephanodiscus niagarae,1,0,0,0,0,0,0,283.1,16,7,105,19,0,283.1,16,7,105,19,0
Stephanodiscus parvus,1,0,0,0,0,0,0,2885.3692,16,13,105,54,0,2885.3692,16,13,105,54,0
Synechococcus  leopoliensis,1,0,0,0,0,0,0,5.2,16,1,105,1,0,5.2,16,1,105,1,0
Synechococcus elongatus,1,0,0,0,0,0,0,25392.9087,16,10,105,38,0,25392.9087,16,10,105,38,0
Synechococcus sp. 1,1,0,0,0,0,0,0,612958.7474,16,12,105,67,0,612958.7474,16,12,105,67,0
Synechocystis sp. spherical >=2,1,0,0,0,0,0,0,3808.5,16,3,105,7,0,3808.5,16,3,105,7,0
Synedra cyclopum cyst,1,0,0,0,0,0,0,19.8,16,1,105,3,0,19.8,16,1,105,3,0
Synedra delicatissima,1,0,0,0,0,0,0,22.7,16,1,105,1,0,22.7,16,1,105,1,0
Synedra filiformis,1,0,0,0,0,0,0,32.8,16,3,105,3,0,32.8,16,3,105,3,0
Synedra nana,1,0,0,0,0,0,0,4.3,16,1,105,1,0,4.3,16,1,105,1,0
Synedra tenera,1,0,0,0,0,0,0,93.5,16,10,105,19,0,93.5,16,10,105,19,0
Synura sp.,1,0,0,0,0,0,0,5.3,16,2,105,3,0,5.3,16,2,105,3,0
Teilingia granulata,1,0,0,0,0,0,0,3.2,16,1,105,1,0,3.2,16,1,105,1,0
Tetracystis pulchra,1,0,0,0,0,0,0,18.2,16,1,105,1,0,18.2,16,1,105,1,0
Tetraedron regulare,1,0,0,0,0,0,0,11.4,16,1,105,1,0,11.4,16,1,105,1,0
Tetrastrum staurogeniaeforme,1,0,0,0,0,0,0,12.1,16,1,105,1,0,12.1,16,1,105,1,0
Trachelomonas sp.,1,0,0,0,0,0,0,1.6938,16,1,105,1,0,1.6938,16,1,105,1,0
Treubaria setigera,1,0,0,0,0,0,0,41.8,16,2,105,3,0,41.8,16,2,105,3,0
Uroglena sp.,1,0,0,0,0,0,0,223.7,16,5,105,11,0,223.7,16,5,105,11,0
